Strategy,Algorithm,Avg Time (ms),Avg Path Tiles,Avg Branch Points,Avg Cleaned Tiles
Optimal,Original,0.355,54.3,20.2,0.0
Optimal,Optimized,0.71,38.8,9.6,15.4
