Strategy,Algorithm,Avg Time (ms),Avg Path Tiles,Avg Branch Points,Avg Cleaned Tiles
Reasonable,Original,0.322,51.6,18.4,0.0
Reasonable,Optimized,0.643,46.7,16.2,4.9
